# Date of Experiment: 5/19/2013	2:02 AM

# yOffsetT2.V:  0.397106
# xOffsetT2.V: -0.180276
# yCornerFreqT2.Hz 921.501983
# xCornerFreqT2.Hz: 882.275945
# yStiffnessT2.pNperNm: 0.109138
# xStiffnessT2.pNperNm: 0.104493
# yDistConversionT2.VperNm: 0.001104
# xDistConversionT2.VperNm: 0.001002

# yOffsetT1.V:  0.030498
# xOffsetT1.V: -0.122023
# yCornerFreqT1.Hz 895.110965
# xCornerFreqT1.Hz: 1178.023242
# yStiffnessT1.pNperNm: 0.114494
# xStiffnessT1.pNperNm: 0.150681
# yDistConversionT1.VperNm: 0.000712
# xDistConversionT1.VperNm: 0.000835

# diameterT1.um: 2.160000
# diameterT2.um: 2.000000

# zOffsetT1.V: -3.144660
# zOffsetT2.V: -3.218840

# sampleRate.Hz: 80000.000000
# nSamples: 1048576.000000
# nBlocks: 128.000000
                                                                                                                                                                                                                       
freq 	 xPsdT1 	 yPsdT1  	 xPsdT2 	 yPsdT2 	 xFitT1 	 yFitT1 	 xFitT2 	 yFitT2 	 zPsdT1 	 zPsdT2 
8.300781E+2	6.264125E-9	5.375287E-9	1.586479E-8	1.552652E-8	6.067484E-9	6.395760E-9	1.413043E-8	1.689232E-8	1.037249E-9	7.079882E-9
8.422852E+2	6.933057E-9	5.558427E-9	1.576678E-8	1.924849E-8	6.008421E-9	6.309330E-9	1.393655E-8	1.667107E-8	1.260996E-9	6.453119E-9
8.544922E+2	6.232715E-9	5.658096E-9	1.668422E-8	1.746478E-8	5.949660E-9	6.223993E-9	1.374520E-8	1.645243E-8	1.358733E-9	5.803094E-9
8.666992E+2	5.418309E-9	5.360178E-9	1.519086E-8	1.564867E-8	5.891216E-9	6.139755E-9	1.355639E-8	1.623643E-8	1.132574E-9	5.629266E-9
8.789062E+2	5.747342E-9	5.859303E-9	1.458457E-8	1.698131E-8	5.833104E-9	6.056620E-9	1.337013E-8	1.602308E-8	1.151886E-9	4.970119E-9
8.911133E+2	6.730463E-9	5.531742E-9	1.237748E-8	1.712986E-8	5.775339E-9	5.974590E-9	1.318642E-8	1.581239E-8	1.185774E-9	4.982192E-9
9.033203E+2	6.655753E-9	5.277338E-9	1.160742E-8	1.647424E-8	5.717933E-9	5.893666E-9	1.300526E-8	1.560438E-8	1.096518E-9	4.719782E-9
9.155273E+2	6.614241E-9	5.400295E-9	1.207754E-8	1.562464E-8	5.660899E-9	5.813847E-9	1.282664E-8	1.539906E-8	1.049029E-9	4.426865E-9
9.277344E+2	5.871550E-9	4.908228E-9	1.203877E-8	1.440149E-8	5.604248E-9	5.735133E-9	1.265056E-8	1.519641E-8	1.122708E-9	4.673417E-9
9.399414E+2	5.054390E-9	5.458857E-9	1.426547E-8	1.455064E-8	5.547992E-9	5.657521E-9	1.247702E-8	1.499646E-8	1.039259E-9	6.011598E-9
9.521484E+2	5.334841E-9	5.628842E-9	1.543843E-8	1.690922E-8	5.492141E-9	5.581008E-9	1.230599E-8	1.479918E-8	9.058800E-10	7.329170E-9
9.643555E+2	5.397479E-9	5.456986E-9	1.357383E-8	1.640219E-8	5.436704E-9	5.505588E-9	1.213747E-8	1.460458E-8	8.787193E-10	7.160760E-9
9.765625E+2	5.237173E-9	4.285441E-9	1.254057E-8	1.385465E-8	5.381690E-9	5.431257E-9	1.197145E-8	1.441264E-8	9.856753E-10	4.707058E-9
9.887695E+2	5.703495E-9	4.285189E-9	1.395929E-8	1.253711E-8	5.327107E-9	5.358009E-9	1.180790E-8	1.422337E-8	8.164968E-10	4.538127E-9
1.000977E+3	4.903388E-9	4.775111E-9	1.504564E-8	1.397821E-8	5.272962E-9	5.285836E-9	1.164681E-8	1.403674E-8	8.151934E-10	4.025836E-9
1.013184E+3	4.867031E-9	4.544249E-9	1.370059E-8	1.392380E-8	5.219262E-9	5.214732E-9	1.148815E-8	1.385275E-8	9.226080E-10	3.746443E-9
1.025391E+3	5.057514E-9	4.270358E-9	1.161971E-8	1.222007E-8	5.166014E-9	5.144687E-9	1.133192E-8	1.367137E-8	9.462792E-10	3.342956E-9
1.037598E+3	5.811203E-9	5.035555E-9	1.190311E-8	1.411461E-8	5.113223E-9	5.075693E-9	1.117808E-8	1.349259E-8	9.867304E-10	2.892166E-9
1.049805E+3	5.588745E-9	4.576368E-9	1.096155E-8	1.353039E-8	5.060894E-9	5.007742E-9	1.102662E-8	1.331640E-8	8.395160E-10	4.466605E-9
1.062012E+3	5.205813E-9	4.851995E-9	1.068062E-8	1.334866E-8	5.009032E-9	4.940822E-9	1.087750E-8	1.314276E-8	8.844992E-10	5.519323E-9
1.074219E+3	4.530218E-9	4.783331E-9	1.017884E-8	1.351916E-8	4.957641E-9	4.874924E-9	1.073071E-8	1.297166E-8	8.894796E-10	3.582914E-9
1.086426E+3	4.764001E-9	4.599263E-9	1.273070E-8	1.261239E-8	4.906724E-9	4.810037E-9	1.058622E-8	1.280309E-8	8.186149E-10	2.920517E-9
1.098633E+3	4.758383E-9	4.314511E-9	1.240572E-8	1.224987E-8	4.856284E-9	4.746150E-9	1.044400E-8	1.263700E-8	7.781349E-10	3.283597E-9
1.110840E+3	4.285862E-9	4.094400E-9	1.102684E-8	1.137093E-8	4.806324E-9	4.683252E-9	1.030402E-8	1.247338E-8	8.509824E-10	3.017942E-9
1.123047E+3	4.114982E-9	3.756001E-9	1.093948E-8	1.314827E-8	4.756847E-9	4.621332E-9	1.016626E-8	1.231221E-8	8.929100E-10	3.373262E-9
1.135254E+3	5.049467E-9	3.466581E-9	1.011310E-8	1.337221E-8	4.707854E-9	4.560377E-9	1.003069E-8	1.215346E-8	8.014258E-10	2.918579E-9
1.147461E+3	4.963855E-9	3.907924E-9	9.579667E-9	1.332516E-8	4.659346E-9	4.500376E-9	9.897278E-9	1.199709E-8	8.103309E-10	2.663221E-9
1.159668E+3	4.729491E-9	4.232232E-9	9.923816E-9	1.122244E-8	4.611324E-9	4.441316E-9	9.765998E-9	1.184309E-8	7.044388E-10	2.802260E-9
1.171875E+3	4.722722E-9	3.579417E-9	9.737887E-9	1.295122E-8	4.563790E-9	4.383186E-9	9.636820E-9	1.169143E-8	7.075119E-10	4.113183E-9
1.184082E+3	4.206300E-9	3.685919E-9	8.900640E-9	1.209119E-8	4.516743E-9	4.325972E-9	9.509715E-9	1.154207E-8	6.721444E-10	5.773312E-9
1.196289E+3	3.831271E-9	4.089080E-9	9.059708E-9	1.110485E-8	4.470183E-9	4.269663E-9	9.384653E-9	1.139499E-8	6.438213E-10	4.155520E-9
1.208496E+3	4.556164E-9	4.052453E-9	8.648338E-9	1.088520E-8	4.424111E-9	4.214246E-9	9.261605E-9	1.125016E-8	7.046771E-10	2.723768E-9
1.220703E+3	3.791481E-9	3.884173E-9	8.212279E-9	1.182687E-8	4.378525E-9	4.159707E-9	9.140541E-9	1.110755E-8	7.120449E-10	3.132949E-9
1.232910E+3	3.237600E-9	3.895784E-9	8.913743E-9	1.159855E-8	4.333425E-9	4.106035E-9	9.021431E-9	1.096713E-8	6.597368E-10	3.394725E-9
1.245117E+3	3.693354E-9	3.811267E-9	1.041199E-8	1.145232E-8	4.288809E-9	4.053216E-9	8.904246E-9	1.082887E-8	6.920349E-10	3.875654E-9
1.257324E+3	4.480820E-9	3.575068E-9	9.673715E-9	1.105338E-8	4.244677E-9	4.001239E-9	8.788956E-9	1.069275E-8	6.886483E-10	3.690387E-9
1.269531E+3	4.128302E-9	3.839267E-9	8.557692E-9	1.123603E-8	4.201026E-9	3.950089E-9	8.675531E-9	1.055872E-8	5.947398E-10	5.827866E-9
1.281738E+3	3.149729E-9	3.413651E-9	8.236421E-9	1.199012E-8	4.157854E-9	3.899756E-9	8.563942E-9	1.042676E-8	6.305773E-10	9.286286E-9
1.293945E+3	3.228487E-9	3.544340E-9	9.287938E-9	1.057408E-8	4.115161E-9	3.850225E-9	8.454160E-9	1.029685E-8	5.845362E-10	3.691065E-9
1.306152E+3	3.942837E-9	3.343019E-9	1.019950E-8	9.384869E-9	4.072943E-9	3.801485E-9	8.346156E-9	1.016895E-8	6.169076E-10	3.260601E-9
1.318359E+3	4.175845E-9	3.114626E-9	9.692690E-9	9.723936E-9	4.031198E-9	3.753523E-9	8.239900E-9	1.004303E-8	6.711286E-10	3.361777E-9
1.330566E+3	4.081499E-9	3.066733E-9	7.697378E-9	1.082747E-8	3.989923E-9	3.706326E-9	8.135365E-9	9.919058E-9	5.829844E-10	2.563991E-9
1.342773E+3	3.782913E-9	3.307793E-9	7.103475E-9	1.104960E-8	3.949117E-9	3.659883E-9	8.032521E-9	9.797011E-9	6.245024E-10	2.595760E-9
1.354980E+3	3.946661E-9	3.293914E-9	7.452174E-9	1.009168E-8	3.908775E-9	3.614181E-9	7.931341E-9	9.676856E-9	6.246780E-10	2.343745E-9
1.367187E+3	4.416260E-9	3.634681E-9	7.391275E-9	9.866148E-9	3.868895E-9	3.569208E-9	7.831797E-9	9.558565E-9	6.071376E-10	2.187206E-9
1.379395E+3	3.905609E-9	3.805886E-9	6.689931E-9	1.102421E-8	3.829473E-9	3.524951E-9	7.733860E-9	9.442109E-9	5.139649E-10	2.288724E-9
1.391602E+3	3.893715E-9	3.191179E-9	7.367694E-9	9.562449E-9	3.790507E-9	3.481400E-9	7.637505E-9	9.327458E-9	5.023190E-10	2.488442E-9
1.403809E+3	3.707074E-9	2.585422E-9	8.343403E-9	8.147260E-9	3.751993E-9	3.438542E-9	7.542702E-9	9.214584E-9	5.882554E-10	2.067278E-9
1.416016E+3	3.135514E-9	2.832523E-9	8.608125E-9	7.937161E-9	3.713928E-9	3.396366E-9	7.449427E-9	9.103459E-9	6.073616E-10	1.816115E-9
1.428223E+3	4.009063E-9	3.027042E-9	7.655231E-9	8.199097E-9	3.676307E-9	3.354860E-9	7.357653E-9	8.994054E-9	5.370507E-10	2.038299E-9
1.440430E+3	3.618209E-9	2.680287E-9	6.699676E-9	8.869694E-9	3.639128E-9	3.314012E-9	7.267353E-9	8.886341E-9	4.772596E-10	2.219144E-9
1.452637E+3	3.374698E-9	2.935281E-9	6.304232E-9	8.849189E-9	3.602386E-9	3.273812E-9	7.178502E-9	8.780294E-9	5.042164E-10	1.961584E-9
1.464844E+3	3.716035E-9	2.873687E-9	5.846334E-9	9.525543E-9	3.566078E-9	3.234249E-9	7.091074E-9	8.675885E-9	5.463669E-10	1.676509E-9
1.477051E+3	3.432153E-9	2.722873E-9	6.553634E-9	9.573046E-9	3.530200E-9	3.195311E-9	7.005045E-9	8.573086E-9	5.453861E-10	1.525501E-9
1.489258E+3	3.062782E-9	2.565022E-9	6.424203E-9	7.823489E-9	3.494748E-9	3.156988E-9	6.920390E-9	8.471872E-9	4.792861E-10	1.313855E-9
1.501465E+3	3.366921E-9	2.992467E-9	5.857344E-9	7.407531E-9	3.459717E-9	3.119269E-9	6.837085E-9	8.372215E-9	5.006520E-10	1.537641E-9
1.513672E+3	3.457814E-9	3.448320E-9	6.332968E-9	8.660486E-9	3.425105E-9	3.082144E-9	6.755106E-9	8.274091E-9	5.285230E-10	1.665745E-9
1.525879E+3	3.541043E-9	3.097215E-9	6.751690E-9	8.066916E-9	3.390906E-9	3.045602E-9	6.674429E-9	8.177473E-9	4.261308E-10	1.640075E-9
1.538086E+3	2.883432E-9	2.711133E-9	7.381902E-9	8.485145E-9	3.357116E-9	3.009633E-9	6.595031E-9	8.082336E-9	4.215439E-10	1.595089E-9
1.550293E+3	2.665724E-9	2.358341E-9	7.392786E-9	7.903594E-9	3.323733E-9	2.974227E-9	6.516889E-9	7.988655E-9	3.756711E-10	1.650460E-9
