trackRefNum	xDistanceInPx	yDistanceInPx	totDistanceInPx	xDistanceInNm	yDistanceInNm	totDistanceInNm
260655472.00	1.08	49.05	49.06	80.26	3030.71	3031.77
260655472.00	-1.28	-48.97	48.98	-94.78	-3025.71	3027.20
260655568.00	-0.95	-49.14	49.15	-70.59	-3036.34	3037.16
260655664.00	-1.20	-48.93	48.94	-89.15	-3023.38	3024.70
260655872.00	-1.12	-48.78	48.79	-83.19	-3013.93	3015.08
260655872.00	1.25	48.99	49.00	92.81	3026.96	3028.38
260656080.00	-1.02	-47.41	47.42	-75.72	-2929.52	2930.50
260656176.00	-1.24	-47.30	47.31	-91.95	-2922.37	2923.82
260656272.00	-1.12	-47.15	47.16	-83.31	-2913.39	2914.58
260656272.00	-1.08	-47.39	47.40	-80.01	-2927.97	2929.07
260656368.00	1.08	47.48	47.49	79.91	2933.54	2934.63
260656464.00	-1.06	-47.35	47.36	-78.82	-2925.65	2926.71
260656576.00	-0.92	-47.16	47.17	-67.92	-2914.29	2915.08
260656672.00	-1.14	-47.09	47.10	-84.63	-2909.55	2910.78
260656768.00	-1.04	-47.53	47.54	-77.16	-2936.76	2937.78
260656864.00	-1.09	-47.39	47.40	-81.04	-2928.11	2929.24
260656992.00	-1.00	-47.56	47.57	-74.00	-2938.49	2939.43
260657072.00	-0.79	-47.43	47.44	-58.52	-2930.86	2931.45
260657280.00	-0.99	-47.71	47.72	-73.42	-2948.26	2949.17
260657280.00	-1.19	-47.31	47.32	-88.06	-2923.12	2924.44
260657376.00	-0.92	-47.35	47.36	-68.27	-2925.62	2926.42
260657472.00	-1.06	-47.57	47.58	-78.43	-2939.06	2940.10
260657568.00	-1.02	-47.45	47.47	-75.76	-2932.22	2933.20
260657664.00	-1.14	-47.38	47.40	-84.51	-2927.72	2928.94
260657776.00	-1.01	-47.24	47.25	-74.89	-2919.00	2919.96
260657872.00	-1.10	-47.65	47.66	-81.32	-2944.28	2945.40
260657968.00	-1.04	-47.78	47.80	-77.12	-2952.61	2953.62
260658080.00	-1.02	-47.48	47.49	-75.73	-2933.88	2934.86
260658080.00	-1.09	-47.50	47.51	-81.00	-2934.73	2935.85
260658272.00	0.92	47.52	47.53	67.79	2936.27	2937.05
260658272.00	-0.85	-47.38	47.38	-62.69	-2927.45	2928.12
260658368.00	-1.11	-47.31	47.32	-82.33	-2923.36	2924.52
260658496.00	-1.21	-47.37	47.39	-89.71	-2927.21	2928.59
260658576.00	-1.15	-47.32	47.34	-85.04	-2924.21	2925.44
260658672.00	-0.97	-47.31	47.32	-72.17	-2923.14	2924.03
260658784.00	-1.21	-47.33	47.34	-89.92	-2924.40	2925.78
260658880.00	-1.04	-47.47	47.49	-77.19	-2933.41	2934.43
260658992.00	-1.16	-47.52	47.53	-85.88	-2936.28	2937.54
260658992.00	-0.87	-47.46	47.47	-64.59	-2932.47	2933.18
260659072.00	-1.02	-47.33	47.34	-75.49	-2924.64	2925.61
260659168.00	-1.15	-47.25	47.26	-84.91	-2919.64	2920.88
260659264.00	-1.14	-47.32	47.33	-84.53	-2923.78	2925.00
260659376.00	-1.17	-47.39	47.40	-86.47	-2928.15	2929.43
260659472.00	-1.12	-47.42	47.43	-82.95	-2930.05	2931.23
260659568.00	-1.03	-47.34	47.35	-76.10	-2925.00	2925.99
260659680.00	-1.16	-47.16	47.18	-85.83	-2914.12	2915.38
260659680.00	-1.13	-47.29	47.31	-83.63	-2922.29	2923.49
260659872.00	-0.96	-47.40	47.41	-71.32	-2928.86	2929.72
260659872.00	-1.09	-47.45	47.46	-80.97	-2931.86	2932.98
260659968.00	-0.97	-47.42	47.43	-71.85	-2930.31	2931.19
260660176.00	-1.06	-47.46	47.48	-78.16	-2932.86	2933.90
260660272.00	-1.06	-47.40	47.41	-78.63	-2928.65	2929.71
260660368.00	-1.16	-47.30	47.31	-85.97	-2922.52	2923.79
260660368.00	-0.99	-47.46	47.47	-73.32	-2932.43	2933.35
260660480.00	-1.03	-47.33	47.34	-76.08	-2924.46	2925.45
260660576.00	-1.19	-47.28	47.29	-87.87	-2921.32	2922.64
260660672.00	-0.97	-47.27	47.28	-71.62	-2920.67	2921.54
260660880.00	-1.12	-47.25	47.26	-82.97	-2919.63	2920.80
260660976.00	-1.10	-47.28	47.30	-81.32	-2921.72	2922.86
260661072.00	-1.10	-47.46	47.47	-81.19	-2932.49	2933.61
260661168.00	-1.26	-47.49	47.51	-93.61	-2934.57	2936.06
260661280.00	-1.06	-47.39	47.40	-78.65	-2928.20	2929.25
260661280.00	-1.00	-47.20	47.21	-74.38	-2916.75	2917.70
