trackRefNum	xPositionInMm	yPositionInMm	yPositionInMm
8297563.00000	5.23490	-0.03975	0.23721
8298864.00000	5.23490	-0.03975	0.23721
8300163.00000	5.23490	-0.03975	0.23721
8301463.00000	5.23490	-0.03975	0.23721
8302763.00000	5.23490	-0.03975	0.23721
8304063.00000	5.23490	-0.03975	0.23721
8305364.00000	5.23490	-0.03975	0.23721
8306662.00000	5.23490	-0.03975	0.23721
8307964.00000	5.23490	-0.03975	0.23721
8309264.00000	5.23490	-0.03975	0.23721
8310563.00000	5.23490	-0.03975	0.23721
8311863.00000	5.23490	-0.03975	0.23721
8313163.00000	5.23490	-0.03975	0.23721
8314464.00000	5.23490	-0.03975	0.23721
8315763.00000	5.23490	-0.03975	0.23721
8317064.00000	5.23490	-0.03975	0.23721
8318363.00000	5.23490	-0.03975	0.23721
8319663.00000	5.23490	-0.03975	0.23721
8320963.00000	5.23490	-0.03975	0.23721
8322264.00000	5.23490	-0.03975	0.23721
8323563.00000	5.23490	-0.03975	0.23721
8324963.00000	5.23490	-0.03975	0.23721
8326264.00000	5.23490	-0.03975	0.23721
8327563.00000	5.23490	-0.03975	0.23721
8328864.00000	5.23490	-0.03975	0.23721
8330163.00000	5.23490	-0.03975	0.23721
8331464.00000	5.23490	-0.03975	0.23721
8332763.00000	5.23490	-0.03975	0.23721
8334064.00000	5.23490	-0.03975	0.23721
8335364.00000	5.23490	-0.03975	0.23721
8336664.00000	5.23490	-0.03975	0.23721
8337963.00000	5.23490	-0.03975	0.23721
8339263.00000	5.23490	-0.03975	0.23721
8340563.00000	5.23490	-0.03975	0.23721
8341863.00000	5.23490	-0.03975	0.23721
8343163.00000	5.23490	-0.03975	0.23721
8344463.00000	5.23490	-0.03975	0.23721
8345764.00000	5.23490	-0.03975	0.23721
8347164.00000	5.23490	-0.03975	0.23721
8348464.00000	5.23490	-0.03975	0.23721
8349764.00000	5.23490	-0.03975	0.23721
8351064.00000	5.23490	-0.03975	0.23721
8352364.00000	5.23490	-0.03975	0.23721
8353664.00000	5.23490	-0.03975	0.23721
8354964.00000	5.23490	-0.03975	0.23721
8356264.00000	5.23490	-0.03975	0.23721
8357564.00000	5.23490	-0.03975	0.23721
8358864.00000	5.23490	-0.03975	0.23721
8360163.00000	5.23490	-0.03975	0.23721
8361463.00000	5.23490	-0.03975	0.23721
8362764.00000	5.23490	-0.03975	0.23721
8364064.00000	5.23490	-0.03975	0.23721
8365364.00000	5.23490	-0.03975	0.23721
8366664.00000	5.23490	-0.03975	0.23721
8368064.00000	5.23490	-0.03975	0.23721
8369364.00000	5.23490	-0.03975	0.23721
8370663.00000	5.23490	-0.03975	0.23721
8371963.00000	5.23490	-0.03975	0.23721
8373263.00000	5.23490	-0.03975	0.23721
8374565.00000	5.23490	-0.03975	0.23721
8375864.00000	5.23490	-0.03975	0.23721
8377163.00000	5.23490	-0.03975	0.23721
8378464.00000	5.23490	-0.03975	0.23721
8379764.00000	5.23490	-0.03975	0.23721
8381065.00000	5.23490	-0.03975	0.23721
8382364.00000	5.23490	-0.03975	0.23721
8383664.00000	5.23490	-0.03975	0.23721
8384964.00000	5.23490	-0.03975	0.23721
8386264.00000	5.23490	-0.03975	0.23721
8387564.00000	5.23490	-0.03975	0.23721
8388864.00000	5.23490	-0.03975	0.23721
8390164.00000	5.23490	-0.03975	0.23721
8391464.00000	5.23490	-0.03975	0.23721
8392865.00000	5.23490	-0.03975	0.23721
8394164.00000	5.23490	-0.03975	0.23721
8395464.00000	5.23490	-0.03975	0.23721
8396764.00000	5.23490	-0.03975	0.23721
8398065.00000	5.23490	-0.03975	0.23721
8399365.00000	5.23490	-0.03975	0.23721
8400663.00000	5.23490	-0.03975	0.23721
8401964.00000	5.23490	-0.03975	0.23721
8403265.00000	5.23490	-0.03975	0.23721
8404564.00000	5.23490	-0.03975	0.23721
8405865.00000	5.23490	-0.03975	0.23721
8407165.00000	5.23490	-0.03975	0.23721
8408464.00000	5.23490	-0.03975	0.23721
8409765.00000	5.23490	-0.03975	0.23721
8411065.00000	5.23490	-0.03975	0.23721
8412364.00000	5.23490	-0.03975	0.23721
8413665.00000	5.23490	-0.03975	0.23721
8414965.00000	5.23490	-0.03975	0.23721
8416264.00000	5.23490	-0.03975	0.23721
