trackRefNum	xDistanceInPx	yDistanceInPx	totDistanceInPx	xDistanceInNm	yDistanceInNm	totDistanceInNm
259687984.00	1.41	47.06	47.08	104.22	2907.98	2909.85
259688080.00	1.29	46.79	46.81	95.20	2891.17	2892.74
259688080.00	1.37	46.84	46.86	101.40	2894.17	2895.95
259688288.00	-1.42	-46.66	46.68	-105.01	-2882.99	2884.90
259688288.00	-1.10	-46.73	46.74	-81.69	-2887.34	2888.50
259688384.00	-1.33	-46.68	46.70	-98.76	-2884.35	2886.04
259688496.00	-1.19	-46.70	46.72	-88.25	-2885.81	2887.16
259688576.00	1.24	47.03	47.05	91.55	2906.12	2907.56
259688688.00	-1.24	-46.78	46.80	-91.92	-2890.58	2892.04
259688784.00	1.13	46.94	46.96	84.00	2900.57	2901.79
259688880.00	-1.22	-46.78	46.79	-90.56	-2890.42	2891.83
259688976.00	-1.15	-46.86	46.88	-85.40	-2895.73	2896.99
259689088.00	-1.25	-46.84	46.86	-92.68	-2894.31	2895.80
259689184.00	1.34	46.87	46.89	99.31	2896.16	2897.86
259689280.00	-1.38	-46.74	46.76	-101.89	-2888.22	2890.02
259689280.00	1.20	47.12	47.14	89.23	2911.72	2913.09
259689376.00	1.43	46.98	47.00	105.90	2902.76	2904.69
259689488.00	1.36	47.04	47.06	100.70	2906.43	2908.17
259689584.00	1.41	46.86	46.88	104.12	2895.45	2897.32
259689696.00	1.29	46.78	46.80	95.86	2890.82	2892.41
259689888.00	1.12	46.82	46.83	83.20	2892.91	2894.10
259689888.00	1.37	47.01	47.03	101.71	2904.46	2906.24
259690080.00	1.16	46.95	46.97	86.14	2901.13	2902.41
259690080.00	-1.33	-46.66	46.68	-98.77	-2883.27	2884.96
259690288.00	-1.26	-46.78	46.80	-93.45	-2890.75	2892.26
259690288.00	1.31	47.23	47.25	96.90	2918.26	2919.87
259690384.00	1.17	46.92	46.93	86.37	2899.10	2900.39
259690480.00	-1.24	-46.76	46.78	-91.66	-2889.56	2891.02
259690576.00	1.21	47.05	47.06	89.72	2907.12	2908.50
259690688.00	1.24	46.90	46.91	91.55	2897.72	2899.16
259690784.00	-1.13	-46.83	46.84	-83.96	-2893.64	2894.86
259690880.00	-1.26	-46.72	46.73	-93.16	-2886.62	2888.12
259690976.00	1.23	46.85	46.86	91.14	2894.77	2896.20
259691088.00	1.28	47.12	47.13	94.50	2911.33	2912.87
259691088.00	-0.99	-46.83	46.85	-73.36	-2893.91	2894.84
259691296.00	1.05	46.95	46.96	77.45	2900.80	2901.83
259691296.00	1.29	46.89	46.91	95.87	2897.51	2899.10
259691376.00	1.34	47.24	47.26	98.93	2918.82	2920.50
259691584.00	1.22	47.00	47.01	90.15	2903.85	2905.24
259691680.00	-1.35	-46.94	46.96	-99.64	-2900.27	2901.98
