 # Date of Experiment: 18/01/02014
 # Time of Experiment: 11:01:27
 # Laser Diode Temp (C): 0.00000
 # Laser Diode Operating Hours (h): 0.00000
 # Laser Diode Current (A): 0.00000
 # AOD ANDOR center x (pixels): 240.500
 # AOD ANDOR center y (pixels): 253.778
 # AOD ANDOR range x (pixels): 27.5000
 # AOD ANDOR range y (pixels): 27.2200
 # AOD CCD center x (pixels): 278.500
 # AOD CCD center y (pixels): 370.750
 # AOD CCD range x (pixels): 163.000
 # AOD CCD range y (pixels): 135.000
 # PM ANDOR center x (pixels): 245.889
 # PM ANDOR center y (pixels): 262.250
 # PM ANDOR range x (pixels): 15.2700
 # PM ANDOR range y (pixels): 10.5000
 # PM CCD center x (pixels): 308.250
 # PM CCD center y (pixels): 412.000
 # PM CCD range x (pixels): 92.3333
 # PM CCD range y (pixels): 52.0000
 # ANDOR pixel size x (nm): 293.940
 # ANDOR pixel size y (nm): 288.530
 # CCD pixel size x (nm): 47.3100
 # CCD pixel size y (nm): 57.1700
 # AOD detector x offset (V): -0.0322060
 # AOD detector y offset (V): -0.0846000
 # AOD trap stiffness x (pN/nm): 0.123303
 # AOD trap stiffness y (pN/nm): 0.126880
 # AOD trap distance conversion x (V/Nm): 0.000695000
 # AOD trap distance conversion y (V/Nm): 0.000802000
 # PM detector x offset (V): -0.0410150
 # PM detector y offset (V): -0.278679
 # PM trap stiffness x (pN/nm): 0.124807
 # PM trap stiffness y (pN/nm): 0.109598
 # PM trap distance conversion x (V/nm): 0.000682000
 # PM trap distance conversion y (V/nm): 0.000604000
 # AOD bead radius (um): 1.05000
 # PM bead radius  (um): 1.05000
 # Sample rate (Hz): 1000
 # Number of samples (int): 10
 # Delta time (s): 0.0100000

Message index (int)	Time sent (s)	Time received (s)	Experiment Phase (int)	Extension from Trap and PSD positions (nm)	Extension from image measurements (nm)	Force X felt by AOD (pN)	Force X felt by PM  (pN)	Force Y felt by AOD (pN)	Force Y felt by PM  (pN)	Norm of force felt by AOD (pN)	Norm of force felt by PM  (pN)	AOD to PM vector x (nm)	AOD to PM vector y (nm)	AODx (V)	AODy (V)	PMx (V)	PMy (V)	PMsensorx (V)	PMsensory (V)	PMxdiff (V)	PMydiff (V)	PMxsum (V)	AODxdiff (V)	AODydiff (V)	AODxsum (V)	StageX (mm)	StageY (mm)	StageZ (mm)	FBx (V)	FBy (V)	FBsum (V)	Pressure (a.u.)
27057720.000000	27617.268000	10864.038760	0.000000	2941.616346	2994.600252	0.251041	0.364173	0.211203	-0.084194	0.328068	0.373779	1.768717	5044.048450	0.181156	-0.349741	-0.001995	-0.004541	4.758086	4.972222	-0.039025	-0.279143	2.794205	-0.030791	-0.083265	3.461718	-4.713170	0.583300	-0.009420	-0.093024	-0.241017	-0.865657	-0.053923
27057730.000000	27617.278000	10864.048685	0.000000	2944.485172	2994.600252	-0.202785	-0.098089	-0.107421	-0.045001	0.229480	0.107919	1.768717	5044.048450	0.181156	-0.349741	-0.001995	-0.004541	4.757878	4.972230	-0.041551	-0.278927	2.793270	-0.033349	-0.085279	3.461806	-4.713170	0.583300	-0.009420	-0.091913	-0.239611	-0.866408	-0.053596
27057740.000000	27617.288000	10864.058689	0.000000	2942.378478	2994.600252	-0.066708	0.340749	-0.130202	-0.295769	0.146296	0.451209	1.768717	5044.048450	0.181156	-0.349741	-0.001995	-0.004541	4.758198	4.972262	-0.039153	-0.280309	2.793878	-0.032582	-0.085423	3.462326	-4.713170	0.583300	-0.009420	-0.092720	-0.241769	-0.866712	-0.055202
27057750.000000	27617.298000	10864.068753	0.000000	2942.876462	3016.531073	-0.252461	0.150610	-0.208514	-0.308834	0.327436	0.343601	1.768717	5044.048450	0.181156	-0.349741	-0.001995	-0.004541	4.758182	4.972390	-0.040192	-0.280381	2.793886	-0.033629	-0.085918	3.460528	-4.713170	0.583300	-0.009420	-0.093128	-0.240042	-0.865784	-0.054795
27057760.000000	27617.308000	10864.078760	0.000000	2941.696296	3016.531073	0.292024	-0.277979	-0.028951	-0.282886	0.293456	0.396607	1.768717	5044.048450	0.181156	-0.349741	-0.001995	-0.004541	4.758230	4.972374	-0.042534	-0.280238	2.795548	-0.030560	-0.084783	3.456979	-4.713170	0.583300	-0.009420	-0.092960	-0.241457	-0.865904	-0.053228
27057770.000000	27617.318000	10864.088780	0.000000	2945.022198	3016.531073	0.249622	-0.033672	0.044297	0.144981	0.253522	0.148840	1.768717	5044.048450	0.181156	-0.349741	-0.001995	-0.004541	4.757678	4.972054	-0.041199	-0.277880	2.793126	-0.030799	-0.084320	3.463405	-4.713170	0.583300	-0.009420	-0.091873	-0.239986	-0.865936	-0.055074
27057780.000000	27617.328000	10864.098751	0.000000	2942.424275	3016.531073	0.151689	-0.289691	-0.218639	-0.366899	0.266106	0.467478	1.768717	5044.048450	0.181156	-0.349741	-0.001995	-0.004541	4.758182	4.972438	-0.042598	-0.280701	2.794357	-0.031351	-0.085982	3.462022	-4.713170	0.583300	-0.009420	-0.092680	-0.241081	-0.866064	-0.055546
27057790.000000	27617.338000	10864.108788	0.000000	2944.497935	3004.982148	-0.214139	-0.258947	-0.107421	-0.043549	0.239572	0.262583	1.768717	5044.048450	0.181156	-0.349741	-0.001995	-0.004541	4.757982	4.972110	-0.042430	-0.278919	2.794509	-0.033413	-0.085279	3.464548	-4.713170	0.583300	-0.009420	-0.091841	-0.239315	-0.866368	-0.053420
27057800.000000	27617.348000	10864.118768	0.000000	2943.157011	3004.982148	0.034064	0.121330	0.141751	0.024678	0.145787	0.123814	1.768717	5044.048450	0.181156	-0.349741	-0.001995	-0.004541	4.757878	4.972334	-0.040352	-0.278543	2.796243	-0.032014	-0.083704	3.458761	-4.713170	0.583300	-0.009420	-0.093727	-0.240442	-0.865864	-0.053748
27057810.000000	27617.358000	10864.128698	0.000000	2939.807323	3004.982148	-0.195688	-0.330684	0.084798	-0.391577	0.213271	0.512527	1.768717	5044.048450	0.181156	-0.349741	-0.001995	-0.004541	4.757638	4.972062	-0.042822	-0.280837	2.796171	-0.033309	-0.084064	3.460072	-4.713170	0.583300	-0.009420	-0.091513	-0.240146	-0.865641	-0.055618
