 # Date of Experiment: 20/03/02013
 # Time of Experiment: 10:03:29
 # Laser Diode Temp (C): 23.6300
 # Laser Diode Operating Hours (h): 19306.1
 # Laser Diode Current (A): 13.0000
 # AOD ANDOR center x (pixels): 268.708
 # AOD ANDOR center y (pixels): 265.323
 # AOD ANDOR range x (pixels): 24.8333
 # AOD ANDOR range y (pixels): 24.7083
 # AOD CCD center x (pixels): 298.188
 # AOD CCD center y (pixels): 291.125
 # AOD CCD range x (pixels): 93.7500
 # AOD CCD range y (pixels): 110.750
 # PM ANDOR center x (pixels): 272.906
 # PM ANDOR center y (pixels): 271.688
 # PM ANDOR range x (pixels): 14.3750
 # PM ANDOR range y (pixels): 9.25000
 # PM CCD center x (pixels): 310.500
 # PM CCD center y (pixels): 324.500
 # PM CCD range x (pixels): 53.0000
 # PM CCD range y (pixels): 42.5000
 # ANDOR pixel size x (nm): 293.940
 # ANDOR pixel size y (nm): 288.530
 # CCD pixel size x (nm): 74.1000
 # CCD pixel size y (nm): 61.6000
 # AOD detector x offset (V): -0.165608
 # AOD detector y offset (V): 0.725181
 # AOD trap stiffness x (pN/nm): 0.166681
 # AOD trap stiffness y (pN/nm): 0.163667
 # AOD trap distance conversion x (V/Nm): 0.00102400
 # AOD trap distance conversion y (V/Nm): 0.00108100
 # PM detector x offset (V): -0.0493670
 # PM detector y offset (V): 0.0642740
 # PM trap stiffness x (pN/nm): 0.194668
 # PM trap stiffness y (pN/nm): 0.158991
 # PM trap distance conversion x (V/nm): 0.000937000
 # PM trap distance conversion y (V/nm): 0.000821000
 # AOD bead radius (um): 1.01500
 # PM bead radius  (um): 1.08000
 # Sample rate (Hz): 1000
 # Number of samples (int): 1
 # Delta time (s): 0.00100000

Message index (int)	Time sent (s)	Time received (s)	Experiment Phase (int)	Extension from Trap and PSD positions (nm)	Extension from image measurements (nm)	Force felt by AOD (pN)	Force felt by PM  (pN)	AOD to PM vector x (nm)	AOD to PM vector y (nm)	AODx (V)	AODy (V)	PMx (V)	PMy (V)	PMsensorx (V)	PMsensory (V)	PMxdiff (V)	PMydiff (V)	PMxsum (V)	AODxdiff (V)	AODydiff (V)	AODxsum (V)	StageX (mm)	StageY (mm)	StageZ (mm)	FBx (V)	FBy (V)	FBsum (V)	Pressure (a.u.)	
34295900.000000	59591.832000	28723.861811	0.000000	2150.343992	2023.754156	2.126765	0.201893	4.534289	4191.415592	-0.005808	-0.152388	-0.241430	0.418599	3.617281	2.880768	-0.049447	0.063235	3.356858	-0.161532	0.711835	3.979886	-5.653890	-0.357670	0.076070	-0.001577	-0.082852	-0.537495	-0.051205	
34295900.000000	59591.834000	28723.864092	0.000000	2149.077470	2023.754156	0.758101	1.818270	4.534289	4191.415592	-0.005808	-0.152388	-0.241430	0.418599	3.617121	2.881007	-0.050166	0.073624	3.356299	-0.161052	0.724142	3.976290	-5.653890	-0.357670	0.076070	0.000101	-0.081094	-0.537974	-0.053363	
34295900.000000	59591.836000	28723.866097	0.000000	2160.182227	2023.754156	1.977977	0.239355	4.534289	4191.415592	-0.005808	-0.152388	-0.241430	0.418599	3.617521	2.880928	-0.050246	0.065073	3.355500	-0.153460	0.724861	3.971415	-5.653890	-0.357670	0.076070	-0.002056	-0.079096	-0.538454	-0.052004	
34295900.000000	59591.838000	28723.867890	0.000000	2144.311451	2023.754156	1.584776	2.527383	4.534289	4191.415592	-0.005808	-0.152388	-0.241430	0.418599	3.616961	2.880848	-0.058078	0.073384	3.354541	-0.158016	0.718628	3.977808	-5.653890	-0.357670	0.076070	0.001460	-0.081493	-0.539093	-0.051365	
34295900.000000	59591.840000	28723.869646	0.000000	2162.068711	2023.754156	0.991348	0.831192	4.534289	4191.415592	-0.005808	-0.152388	-0.241430	0.418599	3.616881	2.881007	-0.053283	0.063395	3.361014	-0.159534	0.724702	3.974132	-5.653890	-0.357670	0.076070	0.001939	-0.080294	-0.539812	-0.054322	
34295900.000000	59591.843000	28723.873545	0.000000	2159.515470	2023.754156	2.132068	1.517913	4.534289	4191.415592	-0.005808	-0.152388	-0.241430	0.418599	3.616802	2.880928	-0.054162	0.070188	3.348627	-0.153620	0.730855	3.965501	-5.653890	-0.357670	0.076070	0.004896	-0.080694	-0.535896	-0.055041	
34295900.000000	59591.846000	28723.876700	0.000000	2163.121792	2023.754156	1.037829	0.634353	4.534289	4191.415592	-0.005808	-0.152388	-0.241430	0.418599	3.616881	2.880928	-0.051365	0.061797	3.361333	-0.159374	0.723743	3.974931	-5.653890	-0.357670	0.076070	0.000741	-0.079815	-0.539892	-0.051365	
34295900.000000	59591.849000	28723.878869	0.000000	2153.086320	2023.754156	1.566682	0.731950	4.534289	4191.415592	-0.005808	-0.152388	-0.241430	0.418599	3.617201	2.880848	-0.052883	0.064514	3.360055	-0.160413	0.716470	3.972054	-5.653890	-0.357670	0.076070	-0.001817	-0.079575	-0.537575	-0.051605	
34295900.000000	59591.852000	28723.880811	0.000000	2159.076613	2023.754156	0.451167	1.700167	4.534289	4191.415592	-0.005808	-0.152388	-0.241430	0.418599	3.617201	2.881167	-0.056959	0.067551	3.361413	-0.163370	0.726939	3.973892	-5.653890	-0.357670	0.076070	-0.003175	-0.080534	-0.537175	-0.051125	
34295910.000000	59591.853000	28723.882416	0.000000	2159.076613	2023.754156	0.451167	1.700167	4.534289	4191.415592	-0.005808	-0.152388	-0.241430	0.418599	3.617201	2.881167	-0.056959	0.067551	3.361413	-0.163370	0.726939	3.973892	-5.653890	-0.357670	0.076070	-0.003175	-0.080534	-0.537175	-0.051125	
34295910.000000	59591.857000	28723.886659	0.000000	2156.468894	2023.754156	0.109635	0.757519	4.534289	4191.415592	-0.005808	-0.152388	-0.241430	0.418599	3.617441	2.881007	-0.047769	0.067790	3.354780	-0.165528	0.724462	3.978368	-5.653890	-0.357670	0.076070	-0.000298	-0.081733	-0.537974	-0.049367	
34295910.000000	59591.859000	28723.887885	0.000000	2145.798645	2023.212254	0.893764	2.223189	4.534289	4191.415592	-0.005808	-0.152388	-0.241430	0.418599	3.617121	2.880768	-0.054641	0.074263	3.353741	-0.161372	0.721425	3.980845	-5.653890	-0.357670	0.076070	-0.000059	-0.083971	-0.540132	-0.050725	
