# Date of Experiment: 18/08/2014	15:56

# AOD detector vertical offset:  -0.089041
# AOD detector horizontal offset: -0.067967
# AOD vertical corner frequency 281.253681
# AOD horizontal corner frequency: 503.090072
# AOD vertical trap stiffness (pN/nm): 0.040178
# AOD horizontal trap stiffness (pN/nm): 0.071868
# AOD vertical OLS (V/nm): 0.000498
# AOD horizontal OLS (V/nm): 0.000616
# PM detector vertical offset:  -0.293473
# PM detector horizontal offset: -0.045776
# PM vertical corner frequency 502.663972
# PM horizontal corner frequency: 648.164174
# PM vertical trap stiffness (pN/nm): 0.071807
# PM horizontal trap stiffness (pN/nm): 0.092592
# PM vertical OLS (V/nm): 0.000573
# PM horizontal OLS (V/nm): 0.000737
# PM bead diameter (um): 2.100000
# AOD bead diameter (um): 2.100000

# sample rate: 80000 Hz
# number of samples: 524288
# number of blocks: 64.000000

# viscosity (pN s / nm^2): 1.148727E-9
                                                                                                                                                                                                                       
freq 	  PSD PMx 	  PSD PMy  	 PSD AODx 	 PSD AODy 	  Fit PMx 	  Fit PMy 	 Fit AODx 	 Fit AODy 
8.496094E+2	7.572633E-9	5.528123E-9	8.398873E-9	6.630172E-9	7.328797E-9	5.256200E-9	4.811868E-9	3.296842E-9
8.593750E+2	6.286533E-9	4.891362E-9	7.095238E-9	7.174496E-9	7.223232E-9	5.167698E-9	4.730883E-9	3.229547E-9
8.691406E+2	7.790016E-9	4.289214E-9	7.339377E-9	6.859411E-9	7.119509E-9	5.081166E-9	4.651699E-9	3.164221E-9
8.789062E+2	8.026979E-9	4.134779E-9	7.304497E-9	7.508476E-9	7.017601E-9	4.996555E-9	4.574271E-9	3.100791E-9
8.886719E+2	8.540218E-9	4.725427E-9	5.335401E-9	7.070409E-9	6.917477E-9	4.913816E-9	4.498556E-9	3.039187E-9
8.984375E+2	7.705169E-9	5.263691E-9	5.390327E-9	7.316778E-9	6.819111E-9	4.832902E-9	4.424510E-9	2.979342E-9
9.082031E+2	7.960197E-9	6.079575E-9	6.857170E-9	6.543129E-9	6.722473E-9	4.753768E-9	4.352093E-9	2.921191E-9
9.179687E+2	6.480880E-9	5.201397E-9	7.675996E-9	6.365114E-9	6.627535E-9	4.676370E-9	4.281262E-9	2.864674E-9
9.277344E+2	5.624930E-9	4.784866E-9	6.765703E-9	7.668689E-9	6.534268E-9	4.600663E-9	4.211978E-9	2.809732E-9
9.375000E+2	5.984339E-9	4.991028E-9	5.443677E-9	8.008238E-9	6.442643E-9	4.526606E-9	4.144203E-9	2.756309E-9
9.472656E+2	7.513964E-9	4.980830E-9	6.594094E-9	7.648813E-9	6.352632E-9	4.454156E-9	4.077898E-9	2.704351E-9
9.570312E+2	7.168936E-9	4.151156E-9	6.318969E-9	6.513427E-9	6.264207E-9	4.383273E-9	4.013027E-9	2.653807E-9
9.667969E+2	6.192850E-9	4.415157E-9	5.426082E-9	6.590549E-9	6.177341E-9	4.313917E-9	3.949553E-9	2.604628E-9
9.765625E+2	6.608012E-9	4.160427E-9	3.990922E-9	6.662746E-9	6.092004E-9	4.246051E-9	3.887441E-9	2.556766E-9
9.863281E+2	7.285687E-9	4.409566E-9	4.456856E-9	6.895102E-9	6.008171E-9	4.179637E-9	3.826657E-9	2.510176E-9
9.960937E+2	7.050221E-9	4.292404E-9	5.554724E-9	7.833041E-9	5.925813E-9	4.114637E-9	3.767167E-9	2.464814E-9
1.005859E+3	6.307381E-9	4.904763E-9	5.082682E-9	5.968634E-9	5.844903E-9	4.051018E-9	3.708940E-9	2.420640E-9
1.015625E+3	5.452431E-9	4.718147E-9	4.906363E-9	4.980735E-9	5.765416E-9	3.988743E-9	3.651942E-9	2.377613E-9
1.025391E+3	5.720997E-9	4.166905E-9	5.378586E-9	6.381985E-9	5.687325E-9	3.927779E-9	3.596144E-9	2.335694E-9
1.035156E+3	6.426228E-9	3.460745E-9	4.636111E-9	5.944145E-9	5.610603E-9	3.868093E-9	3.541516E-9	2.294848E-9
1.044922E+3	5.238659E-9	3.863518E-9	4.292741E-9	4.996499E-9	5.535225E-9	3.809654E-9	3.488028E-9	2.255038E-9
1.054687E+3	4.331320E-9	4.715511E-9	5.059428E-9	5.205147E-9	5.461166E-9	3.752430E-9	3.435651E-9	2.216231E-9
1.064453E+3	5.344008E-9	4.548129E-9	4.311421E-9	5.709131E-9	5.388401E-9	3.696390E-9	3.384358E-9	2.178394E-9
1.074219E+3	4.740442E-9	4.120924E-9	4.714440E-9	6.824341E-9	5.316905E-9	3.641506E-9	3.334123E-9	2.141497E-9
1.083984E+3	5.521226E-9	3.602347E-9	6.214068E-9	6.960591E-9	5.246654E-9	3.587749E-9	3.284918E-9	2.105508E-9
1.093750E+3	5.395599E-9	4.640316E-9	6.173418E-9	6.271407E-9	5.177624E-9	3.535090E-9	3.236718E-9	2.070399E-9
1.103516E+3	4.579738E-9	3.941287E-9	6.248161E-9	6.372287E-9	5.109792E-9	3.483503E-9	3.189498E-9	2.036142E-9
